col_X,pattern_X,match_type_X,col_Y,pattern_Y,match_type_Y,confidence,n_matching_X,n_valid,n_violations,epsilon,generalized_from
Division,Dav,startswith,Department,LIB,exact,1.0,16,16,0,0.0,1
Division,Y,startswith,Department,REC,exact,1.0,16,16,0,0.0,1
Division,Sit,startswith,Department Name,Department of Permitting Services,exact,1.0,16,16,0,0.0,1
Division,Dav,startswith,Department Name,Department of Public Libraries,exact,1.0,16,16,0,0.0,1
Division,Y,startswith,Department Name,Department of Recreation,exact,1.0,16,16,0,0.0,1
Division,Sec,startswith,Department Name,Fire and Rescue Services,exact,1.0,16,16,0,0.0,1
Division,First,startswith,Department Name,Fire and Rescue Services,exact,1.0,16,16,0,0.0,1
Full Name,As,startswith,Assignment Category,Fulltime-Regular,exact,1.0,16,16,0,0.0,1
Full Name,Cro,startswith,Assignment Category,Fulltime-Regular,exact,1.0,16,16,0,0.0,1
Full Name,Kn,startswith,Assignment Category,Fulltime-Regular,exact,1.0,16,16,0,0.0,1
Full Name,Wel,startswith,Assignment Category,Fulltime-Regular,exact,1.0,16,16,0,0.0,1
Full Name,Wr,startswith,Assignment Category,Fulltime-Regular,exact,1.0,16,16,0,0.0,1
Full Name,Stevens,startswith,Assignment Category,Fulltime-Regular,exact,1.0,16,16,0,0.0,1
Underfilled Job Title,D,startswith,Assignment Category,Fulltime-Regular,exact,1.0,16,16,0,0.0,1
Underfilled Job Title,D,startswith,Department,SHF,exact,1.0,16,16,0,0.0,4
Underfilled Job Title,D,startswith,Department Name,Sheriff's Office,exact,1.0,16,16,0,0.0,4
Underfilled Job Title,D,startswith,Gender,M,exact,1.0,16,16,0,0.0,1
Underfilled Job Title,D,startswith,Position Title,Deputy Sheriff III,exact,1.0,16,16,0,0.0,4
Division,Licensure,startswith,Department,DLC,exact,1.0,15,15,0,0.0,1
Division,Vic,startswith,Department,HHS,exact,1.0,15,15,0,0.0,1
Division,Vic,startswith,Department Name,Department of Health and Human Services,exact,1.0,15,15,0,0.0,1
Division,Licensure,startswith,Department Name,Department of Liquor Control,exact,1.0,15,15,0,0.0,1
Division,Vic,startswith,Gender,F,exact,1.0,15,15,0,0.0,1
Full Name,Cor,startswith,Assignment Category,Fulltime-Regular,exact,1.0,15,15,0,0.0,1
Full Name,Gol,startswith,Assignment Category,Fulltime-Regular,exact,1.0,15,15,0,0.0,1
Full Name,Rus,startswith,Assignment Category,Fulltime-Regular,exact,1.0,15,15,0,0.0,1
Full Name,Sco,startswith,Assignment Category,Fulltime-Regular,exact,1.0,15,15,0,0.0,1
Position Title,N,startswith,Assignment Category,Fulltime-Regular,exact,1.0,15,15,0,0.0,1
Position Title,N,startswith,Department,HHS,exact,1.0,15,15,0,0.0,1
Position Title,N,startswith,Department Name,Department of Health and Human Services,exact,1.0,15,15,0,0.0,1
Underfilled Job Title,E,startswith,Assignment Category,Fulltime-Regular,exact,1.0,15,15,0,0.0,1
Underfilled Job Title,B,startswith,Assignment Category,Fulltime-Regular,exact,1.0,15,15,0,0.0,1
Date First Hired,7/5,startswith,Assignment Category,Fulltime-Regular,exact,1.0,14,14,0,0.0,1
Department,DED,startswith,Assignment Category,Fulltime-Regular,exact,1.0,14,14,0,0.0,1
Department,DED,startswith,Department Name,Department of Economic Development,exact,1.0,14,14,0,0.0,1
Division,Inv,startswith,Assignment Category,Fulltime-Regular,exact,1.0,14,14,0,0.0,1
Division,CO,startswith,Assignment Category,Fulltime-Regular,exact,1.0,14,14,0,0.0,1
Division,Fo,startswith,Assignment Category,Fulltime-Regular,exact,1.0,14,14,0,0.0,1
Division,Div,startswith,Assignment Category,Fulltime-Regular,exact,1.0,14,14,0,0.0,1
Division,Ab,startswith,Assignment Category,Fulltime-Regular,exact,1.0,14,14,0,0.0,1
Division,Accounts,startswith,Assignment Category,Fulltime-Regular,exact,1.0,14,14,0,0.0,1
Division,Sto,startswith,Department,DEP,exact,1.0,14,14,0,0.0,1
Division,CO,startswith,Department,DTS,exact,1.0,14,14,0,0.0,1
Division,Div,startswith,Department,FIN,exact,1.0,14,14,0,0.0,1
Division,Accounts,startswith,Department,FIN,exact,1.0,14,14,0,0.0,1
Division,Fo,startswith,Department,FRS,exact,1.0,14,14,0,0.0,1
Division,Asp,startswith,Department,LIB,exact,1.0,14,14,0,0.0,1
Division,Col,startswith,Department,LIB,exact,1.0,14,14,0,0.0,1
Division,Pat,startswith,Department,POL,exact,1.0,14,14,0,0.0,1
Division,Ci,startswith,Department,SHF,exact,1.0,14,14,0,0.0,1
Division,Sto,startswith,Department Name,Department of Environmental Protection,exact,1.0,14,14,0,0.0,1
Division,Div,startswith,Department Name,Department of Finance,exact,1.0,14,14,0,0.0,1
Division,Accounts,startswith,Department Name,Department of Finance,exact,1.0,14,14,0,0.0,1
Division,Pat,startswith,Department Name,Department of Police,exact,1.0,14,14,0,0.0,1
Division,Asp,startswith,Department Name,Department of Public Libraries,exact,1.0,14,14,0,0.0,1
Division,Col,startswith,Department Name,Department of Public Libraries,exact,1.0,14,14,0,0.0,1
Division,CO,startswith,Department Name,Department of Technology Services,exact,1.0,14,14,0,0.0,1
Division,Fo,startswith,Department Name,Fire and Rescue Services,exact,1.0,14,14,0,0.0,1
Division,Ci,startswith,Department Name,Sheriff's Office,exact,1.0,14,14,0,0.0,1
Division,Asp,startswith,Gender,F,exact,1.0,14,14,0,0.0,1
Division,Ab,startswith,Gender,F,exact,1.0,14,14,0,0.0,1
Full Name,Ev,startswith,Assignment Category,Fulltime-Regular,exact,1.0,14,14,0,0.0,1
Full Name,Lop,startswith,Assignment Category,Fulltime-Regular,exact,1.0,14,14,0,0.0,1
Full Name,Mcc,startswith,Assignment Category,Fulltime-Regular,exact,1.0,14,14,0,0.0,1
Full Name,Wol,startswith,Assignment Category,Fulltime-Regular,exact,1.0,14,14,0,0.0,1
Full Name,Ward,startswith,Assignment Category,Fulltime-Regular,exact,1.0,14,14,0,0.0,1
Position Title,Sa,startswith,Assignment Category,Fulltime-Regular,exact,1.0,14,14,0,0.0,1
Position Title,Sa,startswith,Department,DOT,exact,1.0,14,14,0,0.0,1
Position Title,Transportation,startswith,Department,DOT,exact,1.0,14,14,0,0.0,1
Position Title,Sa,startswith,Department Name,Department of Transportation,exact,1.0,14,14,0,0.0,1
Position Title,Transportation,startswith,Department Name,Department of Transportation,exact,1.0,14,14,0,0.0,1
Position Title,Sa,startswith,Division,Transit Safety and Instruction,exact,1.0,14,14,0,0.0,3
Position Title,Transportation,startswith,Gender,M,exact,1.0,14,14,0,0.0,1
Underfilled Job Title,Procurement,startswith,Department,PRO,exact,1.0,14,14,0,0.0,1
Underfilled Job Title,Procurement,startswith,Department Name,Office of Procurement,exact,1.0,14,14,0,0.0,1
Underfilled Job Title,Procurement,startswith,Position Title,Procurement Specialist IV,exact,1.0,14,14,0,0.0,1
Department,N,startswith,Assignment Category,Fulltime-Regular,exact,1.0,13,13,0,0.0,1
Department,N,startswith,Department Name,Non-Departmental Account,exact,1.0,13,13,0,0.0,3
Department Name,N,startswith,Assignment Category,Fulltime-Regular,exact,1.0,13,13,0,0.0,1
Department Name,N,startswith,Department,NDA,exact,1.0,13,13,0,0.0,3
Division,Res,startswith,Assignment Category,Fulltime-Regular,exact,1.0,13,13,0,0.0,1
Division,Pol,startswith,Assignment Category,Fulltime-Regular,exact,1.0,13,13,0,0.0,1
Division,Res,startswith,Department,FRS,exact,1.0,13,13,0,0.0,1
Division,Access,startswith,Department,HHS,exact,1.0,13,13,0,0.0,1
Division,Lit,startswith,Department,LIB,exact,1.0,13,13,0,0.0,1
Division,Access,startswith,Department Name,Department of Health and Human Services,exact,1.0,13,13,0,0.0,1
Division,Lit,startswith,Department Name,Department of Public Libraries,exact,1.0,13,13,0,0.0,1
Division,Res,startswith,Department Name,Fire and Rescue Services,exact,1.0,13,13,0,0.0,1
Full Name,Ada,startswith,Assignment Category,Fulltime-Regular,exact,1.0,13,13,0,0.0,1
Full Name,Bry,startswith,Assignment Category,Fulltime-Regular,exact,1.0,13,13,0,0.0,1
Full Name,Cle,startswith,Assignment Category,Fulltime-Regular,exact,1.0,13,13,0,0.0,1
Full Name,Gro,startswith,Assignment Category,Fulltime-Regular,exact,1.0,13,13,0,0.0,1
Full Name,Hay,startswith,Assignment Category,Fulltime-Regular,exact,1.0,13,13,0,0.0,1
Full Name,Lea,startswith,Assignment Category,Fulltime-Regular,exact,1.0,13,13,0,0.0,1
Full Name,Pl,startswith,Assignment Category,Fulltime-Regular,exact,1.0,13,13,0,0.0,1
Full Name,Ti,startswith,Assignment Category,Fulltime-Regular,exact,1.0,13,13,0,0.0,1
Full Name,Tur,startswith,Assignment Category,Fulltime-Regular,exact,1.0,13,13,0,0.0,1
Full Name,Collins,startswith,Assignment Category,Fulltime-Regular,exact,1.0,13,13,0,0.0,1
Full Name,Daniel,startswith,Assignment Category,Fulltime-Regular,exact,1.0,13,13,0,0.0,1
Full Name,Fisher,startswith,Assignment Category,Fulltime-Regular,exact,1.0,13,13,0,0.0,1
Full Name,Ross,startswith,Assignment Category,Fulltime-Regular,exact,1.0,13,13,0,0.0,1
Full Name,Ti,startswith,Gender,M,exact,1.0,13,13,0,0.0,1
Position Title,Te,startswith,Assignment Category,Fulltime-Regular,exact,1.0,13,13,0,0.0,1
Position Title,An,startswith,Assignment Category,Fulltime-Regular,exact,1.0,13,13,0,0.0,1
Position Title,An,startswith,Department,POL,exact,1.0,13,13,0,0.0,1
Position Title,An,startswith,Department Name,Department of Police,exact,1.0,13,13,0,0.0,1
Position Title,An,startswith,Division,FSB Animal Services Division,exact,1.0,13,13,0,0.0,3
Position Title,Te,startswith,Gender,M,exact,1.0,13,13,0,0.0,1
Underfilled Job Title,Ac,startswith,Assignment Category,Fulltime-Regular,exact,1.0,13,13,0,0.0,1
Underfilled Job Title,Tr,startswith,Gender,M,exact,1.0,13,13,0,0.0,1
Underfilled Job Title,Ac,startswith,Position Title,Accountant/Auditor III,exact,1.0,13,13,0,0.0,3
Division,Hu,startswith,Assignment Category,Fulltime-Regular,exact,1.0,12,12,0,0.0,1
Division,Au,startswith,Assignment Category,Fulltime-Regular,exact,1.0,12,12,0,0.0,1
Division,TB,startswith,Assignment Category,Fulltime-Regular,exact,1.0,12,12,0,0.0,1
Division,Car,startswith,Assignment Category,Fulltime-Regular,exact,1.0,12,12,0,0.0,1
Division,Ear,startswith,Department,HHS,exact,1.0,12,12,0,0.0,1
Division,TB,startswith,Department,HHS,exact,1.0,12,12,0,0.0,1
Division,Car,startswith,Department,HHS,exact,1.0,12,12,0,0.0,1
Division,Maternity,startswith,Department,HHS,exact,1.0,12,12,0,0.0,1
Division,Infants,startswith,Department,HHS,exact,1.0,12,12,0,0.0,1
Division,Medication,startswith,Department,HHS,exact,1.0,12,12,0,0.0,1
Division,Tw,startswith,Department,LIB,exact,1.0,12,12,0,0.0,1
Division,MCE,startswith,Department,NDA,exact,1.0,12,12,0,0.0,2
Division,Ear,startswith,Department Name,Department of Health and Human Services,exact,1.0,12,12,0,0.0,1
Division,TB,startswith,Department Name,Department of Health and Human Services,exact,1.0,12,12,0,0.0,1
Division,Car,startswith,Department Name,Department of Health and Human Services,exact,1.0,12,12,0,0.0,1
Division,Maternity,startswith,Department Name,Department of Health and Human Services,exact,1.0,12,12,0,0.0,1
Division,Infants,startswith,Department Name,Department of Health and Human Services,exact,1.0,12,12,0,0.0,1
Division,Medication,startswith,Department Name,Department of Health and Human Services,exact,1.0,12,12,0,0.0,1
Division,Tw,startswith,Department Name,Department of Public Libraries,exact,1.0,12,12,0,0.0,1
Division,MCE,startswith,Department Name,Non-Departmental Account,exact,1.0,12,12,0,0.0,2
Division,Ear,startswith,Gender,F,exact,1.0,12,12,0,0.0,1
Division,Car,startswith,Gender,F,exact,1.0,12,12,0,0.0,1
Division,Infants,startswith,Gender,F,exact,1.0,12,12,0,0.0,1
Full Name,Bak,startswith,Assignment Category,Fulltime-Regular,exact,1.0,12,12,0,0.0,1
Full Name,Kelly,startswith,Assignment Category,Fulltime-Regular,exact,1.0,12,12,0,0.0,1
Position Title,Cou,startswith,Assignment Category,Fulltime-Regular,exact,1.0,12,12,0,0.0,1
Date First Hired,7/7,startswith,Assignment Category,Fulltime-Regular,exact,1.0,11,11,0,0.0,1
Department,OL,startswith,Assignment Category,Fulltime-Regular,exact,1.0,11,11,0,0.0,1
Department,OA,startswith,Department Name,Office of Agriculture,exact,1.0,11,11,0,0.0,2
Department,OL,startswith,Department Name,Office of Legislative Oversight,exact,1.0,11,11,0,0.0,2
Division,Pos,startswith,Assignment Category,Fulltime-Regular,exact,1.0,11,11,0,0.0,1
Division,Bus,startswith,Assignment Category,Fulltime-Regular,exact,1.0,11,11,0,0.0,1
Division,Reg,startswith,Assignment Category,Fulltime-Regular,exact,1.0,11,11,0,0.0,1
Division,Sig,startswith,Assignment Category,Fulltime-Regular,exact,1.0,11,11,0,0.0,1
Division,Sig,startswith,Department,DOT,exact,1.0,11,11,0,0.0,1
Division,Pos,startswith,Department,HHS,exact,1.0,11,11,0,0.0,1
Division,J,startswith,Department,HHS,exact,1.0,11,11,0,0.0,1
Division,Abu,startswith,Department,HHS,exact,1.0,11,11,0,0.0,1
Division,Pos,startswith,Department Name,Department of Health and Human Services,exact,1.0,11,11,0,0.0,1
Division,J,startswith,Department Name,Department of Health and Human Services,exact,1.0,11,11,0,0.0,1
Division,Abu,startswith,Department Name,Department of Health and Human Services,exact,1.0,11,11,0,0.0,1
Division,Sig,startswith,Department Name,Department of Transportation,exact,1.0,11,11,0,0.0,1
Division,Sig,startswith,Gender,M,exact,1.0,11,11,0,0.0,1
Full Name,Ag,startswith,Assignment Category,Fulltime-Regular,exact,1.0,11,11,0,0.0,1
Full Name,Goo,startswith,Assignment Category,Fulltime-Regular,exact,1.0,11,11,0,0.0,1
Full Name,Brooks,startswith,Assignment Category,Fulltime-Regular,exact,1.0,11,11,0,0.0,1
Full Name,Parker,startswith,Assignment Category,Fulltime-Regular,exact,1.0,11,11,0,0.0,1
Position Title,Pa,startswith,Assignment Category,Fulltime-Regular,exact,1.0,11,11,0,0.0,1
Position Title,La,startswith,Assignment Category,Fulltime-Regular,exact,1.0,11,11,0,0.0,1
Position Title,Be,startswith,Department,HHS,exact,1.0,11,11,0,0.0,1
Position Title,Be,startswith,Department Name,Department of Health and Human Services,exact,1.0,11,11,0,0.0,1
Underfilled Job Title,Cod,startswith,Assignment Category,Fulltime-Regular,exact,1.0,11,11,0,0.0,1
Underfilled Job Title,Me,startswith,Department,DGS,exact,1.0,11,11,0,0.0,3
Underfilled Job Title,Cod,startswith,Department,POL,exact,1.0,11,11,0,0.0,1
Underfilled Job Title,Me,startswith,Department Name,Department of General Services,exact,1.0,11,11,0,0.0,3
Underfilled Job Title,Cod,startswith,Department Name,Department of Police,exact,1.0,11,11,0,0.0,1
Underfilled Job Title,Cod,startswith,Division,FSB Animal Services Division,exact,1.0,11,11,0,0.0,2
Underfilled Job Title,Me,startswith,Division,Fleet Management Fleet Services,exact,1.0,11,11,0,0.0,3
Underfilled Job Title,Me,startswith,Gender,M,exact,1.0,11,11,0,0.0,1
Underfilled Job Title,Cod,startswith,Position Title,Code Enforcement Inspector III,exact,1.0,11,11,0,0.0,2
Underfilled Job Title,Me,startswith,Position Title,Mechanic Technician II,exact,1.0,11,11,0,0.0,3
Date First Hired,6/5,startswith,Assignment Category,Fulltime-Regular,exact,1.0,10,10,0,0.0,1
Department,DH,startswith,Assignment Category,Fulltime-Regular,exact,1.0,10,10,0,0.0,1
Department,DH,startswith,Department Name,Office of Emergency Management and Homeland Security,exact,1.0,10,10,0,0.0,2
Division,Cli,startswith,Assignment Category,Fulltime-Regular,exact,1.0,10,10,0,0.0,1
Division,Nu,startswith,Assignment Category,Fulltime-Regular,exact,1.0,10,10,0,0.0,1
Division,Wal,startswith,Department,DLC,exact,1.0,10,10,0,0.0,1
Division,Lei,startswith,Department,DLC,exact,1.0,10,10,0,0.0,1
Division,Wes,startswith,Department,DLC,exact,1.0,10,10,0,0.0,1
Division,Montrose,startswith,Department,DLC,exact,1.0,10,10,0,0.0,1
Division,Ent,startswith,Department,DTS,exact,1.0,10,10,0,0.0,1
Division,Pe,startswith,Department,HHS,exact,1.0,10,10,0,0.0,1
Division,Cli,startswith,Department,HHS,exact,1.0,10,10,0,0.0,1
Division,Nu,startswith,Department,HHS,exact,1.0,10,10,0,0.0,1
Division,Head,startswith,Department,HHS,exact,1.0,10,10,0,0.0,1
Division,Pe,startswith,Department Name,Department of Health and Human Services,exact,1.0,10,10,0,0.0,1
Division,Cli,startswith,Department Name,Department of Health and Human Services,exact,1.0,10,10,0,0.0,1
Division,Nu,startswith,Department Name,Department of Health and Human Services,exact,1.0,10,10,0,0.0,1
Division,Head,startswith,Department Name,Department of Health and Human Services,exact,1.0,10,10,0,0.0,1
Division,Wal,startswith,Department Name,Department of Liquor Control,exact,1.0,10,10,0,0.0,1
Division,Lei,startswith,Department Name,Department of Liquor Control,exact,1.0,10,10,0,0.0,1
Division,Wes,startswith,Department Name,Department of Liquor Control,exact,1.0,10,10,0,0.0,1
Division,Montrose,startswith,Department Name,Department of Liquor Control,exact,1.0,10,10,0,0.0,1
Division,Ent,startswith,Department Name,Department of Technology Services,exact,1.0,10,10,0,0.0,1
Division,Wo,startswith,Gender,F,exact,1.0,10,10,0,0.0,1
Full Name,Fal,startswith,Assignment Category,Fulltime-Regular,exact,1.0,10,10,0,0.0,1
Full Name,Fos,startswith,Assignment Category,Fulltime-Regular,exact,1.0,10,10,0,0.0,1
Full Name,Gib,startswith,Assignment Category,Fulltime-Regular,exact,1.0,10,10,0,0.0,1
Full Name,Gon,startswith,Assignment Category,Fulltime-Regular,exact,1.0,10,10,0,0.0,1
Full Name,Hei,startswith,Assignment Category,Fulltime-Regular,exact,1.0,10,10,0,0.0,1
Full Name,Med,startswith,Assignment Category,Fulltime-Regular,exact,1.0,10,10,0,0.0,1
Full Name,Mun,startswith,Assignment Category,Fulltime-Regular,exact,1.0,10,10,0,0.0,1
Full Name,Ry,startswith,Assignment Category,Fulltime-Regular,exact,1.0,10,10,0,0.0,1
Full Name,Wes,startswith,Assignment Category,Fulltime-Regular,exact,1.0,10,10,0,0.0,1
Position Title,Council,startswith,Department,CCL,exact,1.0,10,10,0,0.0,1
Position Title,Med,startswith,Department,HHS,exact,1.0,10,10,0,0.0,1
Position Title,Council,startswith,Department Name,County Council,exact,1.0,10,10,0,0.0,1
Position Title,Med,startswith,Department Name,Department of Health and Human Services,exact,1.0,10,10,0,0.0,1
Underfilled Job Title,Hu,startswith,Department,OHR,exact,1.0,10,10,0,0.0,3
Underfilled Job Title,Hu,startswith,Department Name,Office of Human Resources,exact,1.0,10,10,0,0.0,3
Underfilled Job Title,Hu,startswith,Position Title,Human Resources Specialist III,exact,1.0,10,10,0,0.0,3
Division,Agi,startswith,Assignment Category,Fulltime-Regular,exact,1.0,9,9,0,0.0,1
Division,Emp,startswith,Assignment Category,Fulltime-Regular,exact,1.0,9,9,0,0.0,1
Division,Leg,startswith,Assignment Category,Fulltime-Regular,exact,1.0,9,9,0,0.0,1
Division,U,startswith,Assignment Category,Fulltime-Regular,exact,1.0,9,9,0,0.0,1
Division,Compliance,startswith,Assignment Category,Fulltime-Regular,exact,1.0,9,9,0,0.0,1
Division,Marketing,startswith,Assignment Category,Fulltime-Regular,exact,1.0,9,9,0,0.0,1
Division,Marketing,startswith,Department,DED,exact,1.0,9,9,0,0.0,1
Division,Gos,startswith,Department,DLC,exact,1.0,9,9,0,0.0,1
Division,Mud,startswith,Department,DLC,exact,1.0,9,9,0,0.0,1
Division,Dar,startswith,Department,DLC,exact,1.0,9,9,0,0.0,1
Division,Pi,startswith,Department,DLC,exact,1.0,9,9,0,0.0,1
Division,Fal,startswith,Department,DLC,exact,1.0,9,9,0,0.0,1
Division,Agi,startswith,Department,HHS,exact,1.0,9,9,0,0.0,1
Division,Investigations,startswith,Department,OCP,exact,1.0,9,9,0,0.0,1
Division,Leg,startswith,Department,OLO,exact,1.0,9,9,0,0.0,2
Division,Marketing,startswith,Department Name,Department of Economic Development,exact,1.0,9,9,0,0.0,1
Division,Agi,startswith,Department Name,Department of Health and Human Services,exact,1.0,9,9,0,0.0,1
Division,Gos,startswith,Department Name,Department of Liquor Control,exact,1.0,9,9,0,0.0,1
Division,Mud,startswith,Department Name,Department of Liquor Control,exact,1.0,9,9,0,0.0,1
Division,Dar,startswith,Department Name,Department of Liquor Control,exact,1.0,9,9,0,0.0,1
Division,Pi,startswith,Department Name,Department of Liquor Control,exact,1.0,9,9,0,0.0,1
Division,Fal,startswith,Department Name,Department of Liquor Control,exact,1.0,9,9,0,0.0,1
Division,Investigations,startswith,Department Name,Office of Consumer Protection,exact,1.0,9,9,0,0.0,1
Division,Leg,startswith,Department Name,Office of Legislative Oversight,exact,1.0,9,9,0,0.0,2
Division,Investigations,startswith,Position Title,Investigator III,exact,1.0,9,9,0,0.0,1
Full Name,Fel,startswith,Assignment Category,Fulltime-Regular,exact,1.0,9,9,0,0.0,1
Full Name,Fit,startswith,Assignment Category,Fulltime-Regular,exact,1.0,9,9,0,0.0,1
Full Name,Hag,startswith,Assignment Category,Fulltime-Regular,exact,1.0,9,9,0,0.0,1
Full Name,Haw,startswith,Assignment Category,Fulltime-Regular,exact,1.0,9,9,0,0.0,1
Full Name,Hou,startswith,Assignment Category,Fulltime-Regular,exact,1.0,9,9,0,0.0,1
Full Name,Kar,startswith,Assignment Category,Fulltime-Regular,exact,1.0,9,9,0,0.0,1
Full Name,Kh,startswith,Assignment Category,Fulltime-Regular,exact,1.0,9,9,0,0.0,1
Full Name,Kl,startswith,Assignment Category,Fulltime-Regular,exact,1.0,9,9,0,0.0,1
Full Name,Mic,startswith,Assignment Category,Fulltime-Regular,exact,1.0,9,9,0,0.0,1
Full Name,Owe,startswith,Assignment Category,Fulltime-Regular,exact,1.0,9,9,0,0.0,1
Full Name,Pea,startswith,Assignment Category,Fulltime-Regular,exact,1.0,9,9,0,0.0,1
Full Name,Ven,startswith,Assignment Category,Fulltime-Regular,exact,1.0,9,9,0,0.0,1
Full Name,Flores,startswith,Assignment Category,Fulltime-Regular,exact,1.0,9,9,0,0.0,1
Full Name,Morgan,startswith,Assignment Category,Fulltime-Regular,exact,1.0,9,9,0,0.0,1
Full Name,Murphy,startswith,Assignment Category,Fulltime-Regular,exact,1.0,9,9,0,0.0,1
Full Name,Price,startswith,Assignment Category,Fulltime-Regular,exact,1.0,9,9,0,0.0,1
Position Title,Cri,startswith,Assignment Category,Fulltime-Regular,exact,1.0,9,9,0,0.0,1
Position Title,Mo,startswith,Assignment Category,Fulltime-Regular,exact,1.0,9,9,0,0.0,1
Position Title,Property,startswith,Assignment Category,Fulltime-Regular,exact,1.0,9,9,0,0.0,1
Position Title,Confidential,startswith,Department,CCL,exact,1.0,9,9,0,0.0,1
Position Title,El,startswith,Department,DGS,exact,1.0,9,9,0,0.0,1
Position Title,Mo,startswith,Department,DOT,exact,1.0,9,9,0,0.0,1
Position Title,Ba,startswith,Department,POL,exact,1.0,9,9,0,0.0,1
Position Title,Confidential,startswith,Department Name,County Council,exact,1.0,9,9,0,0.0,1
Position Title,El,startswith,Department Name,Department of General Services,exact,1.0,9,9,0,0.0,1
Position Title,Ba,startswith,Department Name,Department of Police,exact,1.0,9,9,0,0.0,1
Position Title,Mo,startswith,Department Name,Department of Transportation,exact,1.0,9,9,0,0.0,1
Position Title,Confidential,startswith,Division,Council Members and Staff,exact,1.0,9,9,0,0.0,1
Position Title,El,startswith,Division,Facilities Maintenance,exact,1.0,9,9,0,0.0,1
Position Title,Ba,startswith,Division,MSB Personnel Division Background Section,exact,1.0,9,9,0,0.0,3
Position Title,El,startswith,Gender,M,exact,1.0,9,9,0,0.0,1
Position Title,Maintenance,startswith,Gender,M,exact,1.0,9,9,0,0.0,1
Underfilled Job Title,Ho,startswith,Assignment Category,Fulltime-Regular,exact,1.0,9,9,0,0.0,1
Underfilled Job Title,Ho,startswith,Department,HCA,exact,1.0,9,9,0,0.0,3
Underfilled Job Title,Ho,startswith,Department Name,Department of Housing and Community Affairs,exact,1.0,9,9,0,0.0,3
Underfilled Job Title,Ho,startswith,Division,Housing Code Enforcement,exact,1.0,9,9,0,0.0,3
Underfilled Job Title,Ho,startswith,Position Title,Housing Code Inspector III,exact,1.0,9,9,0,0.0,3
Department,HR,startswith,Assignment Category,Fulltime-Regular,exact,1.0,8,8,0,0.0,1
Department,HR,startswith,Department Name,Office of Human Rights,exact,1.0,8,8,0,0.0,2
Division,Sin,startswith,Assignment Category,Fulltime-Regular,exact,1.0,8,8,0,0.0,1
Division,Tre,startswith,Assignment Category,Fulltime-Regular,exact,1.0,8,8,0,0.0,1
Division,Ja,startswith,Assignment Category,Fulltime-Regular,exact,1.0,8,8,0,0.0,1
Division,Bud,startswith,Assignment Category,Fulltime-Regular,exact,1.0,8,8,0,0.0,1
Division,Sa,startswith,Assignment Category,Fulltime-Regular,exact,1.0,8,8,0,0.0,1
Division,Flo,startswith,Department,DLC,exact,1.0,8,8,0,0.0,1
Division,Mil,startswith,Department,DLC,exact,1.0,8,8,0,0.0,1
Division,Ki,startswith,Department,DLC,exact,1.0,8,8,0,0.0,1
Division,Clo,startswith,Department,DLC,exact,1.0,8,8,0,0.0,1
Division,Ham,startswith,Department,DLC,exact,1.0,8,8,0,0.0,1
Division,Seneca,startswith,Department,DLC,exact,1.0,8,8,0,0.0,1
Division,Pay,startswith,Department,FIN,exact,1.0,8,8,0,0.0,1
Division,Sin,startswith,Department,HCA,exact,1.0,8,8,0,0.0,1
Division,Bud,startswith,Department,HHS,exact,1.0,8,8,0,0.0,1
Division,Ur,startswith,Department,HHS,exact,1.0,8,8,0,0.0,1
Division,Technology,startswith,Department,LIB,exact,1.0,8,8,0,0.0,1
Division,Nor,startswith,Department,REC,exact,1.0,8,8,0,0.0,1
Division,Pay,startswith,Department Name,Department of Finance,exact,1.0,8,8,0,0.0,1
Division,Bud,startswith,Department Name,Department of Health and Human Services,exact,1.0,8,8,0,0.0,1
Division,Ur,startswith,Department Name,Department of Health and Human Services,exact,1.0,8,8,0,0.0,1
Division,Sin,startswith,Department Name,Department of Housing and Community Affairs,exact,1.0,8,8,0,0.0,1
Division,Flo,startswith,Department Name,Department of Liquor Control,exact,1.0,8,8,0,0.0,1
Division,Mil,startswith,Department Name,Department of Liquor Control,exact,1.0,8,8,0,0.0,1
Division,Ki,startswith,Department Name,Department of Liquor Control,exact,1.0,8,8,0,0.0,1
Division,Clo,startswith,Department Name,Department of Liquor Control,exact,1.0,8,8,0,0.0,1
Division,Ham,startswith,Department Name,Department of Liquor Control,exact,1.0,8,8,0,0.0,1
Division,Seneca,startswith,Department Name,Department of Liquor Control,exact,1.0,8,8,0,0.0,1
Division,Technology,startswith,Department Name,Department of Public Libraries,exact,1.0,8,8,0,0.0,1
Division,Nor,startswith,Department Name,Department of Recreation,exact,1.0,8,8,0,0.0,1
Division,Technology,startswith,Gender,M,exact,1.0,8,8,0,0.0,1
Full Name,Ce,startswith,Assignment Category,Fulltime-Regular,exact,1.0,8,8,0,0.0,1
Full Name,Ci,startswith,Assignment Category,Fulltime-Regular,exact,1.0,8,8,0,0.0,1
Full Name,Dem,startswith,Assignment Category,Fulltime-Regular,exact,1.0,8,8,0,0.0,1
Full Name,Dom,startswith,Assignment Category,Fulltime-Regular,exact,1.0,8,8,0,0.0,1
Full Name,Dy,startswith,Assignment Category,Fulltime-Regular,exact,1.0,8,8,0,0.0,1
Full Name,Est,startswith,Assignment Category,Fulltime-Regular,exact,1.0,8,8,0,0.0,1
Full Name,Fon,startswith,Assignment Category,Fulltime-Regular,exact,1.0,8,8,0,0.0,1
